阿,①用在某些亲属名称的前面：～舅|～叔|～妹。②用在单名、排行或姓前面，表亲昵：～灿|～水|～陈|～五。③加在某些形容词前，使成名词：～肥。④加在某些名词或动宾结构后，表示某一类人或具有某种职业的人：枯脚～（瘸腿的人）|担芽油～（挑着麦芽糖到处叫卖的人）。,
阿冇,①做事情很随便的人。②花钱随便的人。,
阿长,长期保持关系的原配之外的异性，情人。一般指女性。,
阿公,祖父或外祖父。,
阿兄,哥哥。,
阿妈,祖母。‖“妈”读上声。,
阿毜,对小孩的昵称。‖也叫【阿毜狮】见下方。,
阿毜狮,同【阿毜】见上方。,
阿伯,父亲的哥哥。,
阿弟,弟弟。,
阿弟囝,小弟弟。,
阿尾哥,最小的孩子。,
阿妗,舅母（舅舅的妻子）。,
阿姊,妾。与“阿姊”连读音变不同。‖参看【阿姊】at21tsi453见下方。,
阿姊,姐姐。,
阿姊夫,姐夫。,
阿叔,叔父（父亲的弟弟）。,
阿舍,‖同【舍人囝】在第164页。,
阿肥,胖子。,
阿肥土,大胖子，含戏谑意。,
阿沿,锌铁片。‖马来语ayan的音译。,
阿妹,妹妹。,
阿妹夫,妹夫。,
阿妹哥,对女孩子的昵称。,
阿姑,姑姑（父亲的姐妹）。,
阿甚生,①同【甚生】在第160页。②怎么办：汝看卜～？|者事体卜～都伓知（这事情真不知道该怎么办？）,
阿姨,姨姨（母亲的姐妹）。,
阿姨囝,小姨子。妻子的妹妹。,
阿紧,赶紧：～去厝（快回家）|卜落雨咯，～行。,
阿倌,同【契弟】在第108页。,
阿虚阿化,说话或为人不实在。,
阿婶,婶婶（叔叔的妻子）。,
阿嫂,嫂嫂（哥哥的妻子）。,
阿骚,调皮；诙谐；机灵；喜欢捉弄人。与“古意”相对：△～侬办～事（调皮的人干捉弄人的事）。,
阿骚囝,①调皮、好作弄人的人。②滑稽的人。‖也叫【骚囝】在第156页，【阿骚侬】见下方，【骚侬】在第156页。,
阿骚侬,同【阿骚囝】见上方。,
阿舅,舅舅（母亲的兄弟）。,
阿舅囝,小舅子（妻子的弟弟）。,
阿蔽,扑克。,
鸦片生,鸦片成瘾的人。‖也叫【吗啡生】在第129页。,
桁古,檩条。,
哑口蝉,哑巴。,
爱挃,喜欢：我无～者个色气（我不喜欢这种颜色）|我～食卤面。,
亦,副词，①表示同样：我～卜去（我也要去）|△孔明火烧葫芦谷，烧死司马懿～好，烧死魏延～好（喻一举两得）。②叠用，强调两件事情并列或对待：伊～亦会讲福州话，～会讲闽南话。③叠用，表示无论这样或那样：讲～伓是，无讲～伓是。④表示转折或让步：即使汝无讲，我～知向（知道）|无食肉，～八（曾经）看见猪行路。,
阿卜,①还，尚：～好。②也要：～食～提（也要吃，也要拿走）。,
亦卜…亦卜…,‖同【卜…卜…】在第22页。,
亦敢,副词。或许；可能：伊～有许厝（或许他在家）。,
安生,这样：～做|汝伓通～讲。,
安乐公,生活无忧、不必劳动、操劳的人。,
桉杉,桉树。,
闇阿闇命,傻人有傻福。,
闇神,痴呆；呆傻：侬有少少～（人有点儿呆傻）。,
闇神阿,傻子；呆子。,
红九,一种身体红色的小海鱼。,
红丸,莆仙特色食品，节日食品。把豆腐捏碎，加上调料，做成比乒乓球略大的小圆球，外裹淀粉，放入滚开的清水中煮。浮起来后就可以捞起，表皮染上红色。,
红毛灰,水泥的旧称。,
红毛苔,莆田红毛菜，是EPA（即二十碳五烯酸的英文缩写，是鱼油的主要成分，藻类中也有）含量最高的海洋藻类生物。,
红毛番,旧时指荷兰人。,
红目糟,红眼病。,
红母蟳,外壳变红色的母蟳，这种蟳膏满肉肥，质量最好。,
红团,莆仙最有特色的节日食品、喜庆食品。糯米浸泡后磨成粉，加水搅拌后做成皮，加糖煮熟的绿豆、糯米等为馅。皮包馅后，放入木制印模印成扁圆状，约巴掌大，底下衬上艳山姜的叶子，放入蒸笼蒸熟。表面因加了食用红而呈红色。主要用于春节，也用于其他一些节日、喜庆。,
红团印,印制红团的木印模。‖参看【红团】见上方。,
红团箬,同【馃箬】在第84页。,
红字簿,描红本子。,
红花,天竺葵。,
红肚,红肚兜。本地一般用于围护婴孩的胸腹。,
红灶妈,喜欢经常穿红衣服的妇女，谑称。灶妈指灶公的配偶，她在画像中一般是穿红衣服的。,
红鸡公,民国时期（1948年8月至1949年7月）发行的红色票面金圆卷。,
红空,①虚荣心强；喜欢炫耀：伊是好～的侬|△～侬死（勿会）了（喜欢炫耀的人总是存在的）。,
红衫,女子穿的红色上衣。莆仙女子，逢节日喜欢穿全套大红衣服，表示喜庆、圆满、富贵。,
红封,用红纸（袋）包着的礼金，用于送亲友表示祝贺或慰问。,
红柑,柑；橘子。,
红柑茶,一种保健食品。可用于治疗消化不良。把茶叶塞进桔子中，晾干。用时切下一块放在容器中，加上水，再把容器放入锅中隔水炖。喝熬成的汤。,
红柑篮,装鲜柑桔之类用的篮。,
红柿,柿子。,
红毡,毛毯。,
红烛,红蜡烛。,
红涂,红壤。,
红菇炕（豆腐）,莆仙特色菜肴，红菇炖豆腐。,
红脚蟹,招潮蟹。大螯是红色的。△～，脚会大身（喻末大于本）。,
红?,表皮紫红色的海蜇皮。,
红猴,猴子。,
红猴芒挦,猴子拔毛，喻发怒的样子。,
红猴面,①脸部瘦削，两腮无肉。②指假面具：许呆囝戴孙悟空的～。,
红猴帽,将整个脸部全遮掩只露出两只眼睛的帽子。,
红鼻番,一种全身纯白羽毛，形体较大的鸭子。,
红膏,蛋黄；蟹黄。,
红靛,红药水。,
红髻索,红头绳。,
红薰,烟丝的一个品种。色红。,
涵沟槽,‖同【沟槽】在第68页。,
饮,稀饭的汤汁。,
饮糜,稀饭；粥：起早食～。△食龙食凤，伓如蜀碗～汤（按照莆仙人的饮食习惯，还是吃稀饭可口）。,
盎,陶缸：米～。,
暗下,阴着儿：使～。,
暗心毒行,隐藏不为人知的狠毒心肠。,
暗帕,除了袋盖，其他部分都在衣服内部的口袋，如西装口袋。与“显帕”相对。,
暗定,黄昏。,
